State,Year,Motor_vehicles_and_parts,Furnishings_and_durable_household_equipment,Recreational_goods_and_vehicles,Other_durable_goods,Food_and_beverages_purchased_for_off-premises_consumption,Clothing_and_footwear,Gasoline_and_other_energy_goods,Other_nondurable_goods,Housing_and_utilities,Health_care,Transportation_services,Recreation_services,Food_services_and_accommodations,Financial_services_and_insurance,Other_services,GDP,Disposable_personal_income,Population,CO2
Alabama,1997,4890.3,2164.5,1846.5,1088.9,7747.3,3249.7,2485.3,6523,13167,12481,2272.8,2839,4278.7,5026.6,6196.3,104811.9,83368962,4367935,88121220.5976107
Alabama,1998,5291.3,2271.3,1934,1181.7,7866.4,3418.4,2165.5,6855,13826.6,12855.8,2432.3,2931.6,4464.6,5399.4,6573.2,110212,88623207,4404701,85020967.4748399
Alabama,1999,5784,2417.6,2082,1302.3,8166.4,3575.1,2388.6,7444.5,14515.5,13057.6,2587.1,3059,4714.8,5815.8,6878.7,115680.1,91638936,4430141,87848914.2289538
Alabama,2000,5827.2,2531.2,2226.5,1364.7,8335.8,3674.7,3112.5,7885.2,15473.6,13704.9,2667,3121.8,4874.9,6434.4,7317.5,119851.7,96052252,4452173,96218754.8545964
Alabama,2001,6085.2,2544.7,2238.6,1357.7,8794.1,3678.3,2915.8,8489,16588.3,14610.5,2625.1,3139.7,4967.1,6359.3,7612,122915.5,99428203,4467634,103884031.088272
Alabama,2002,6490.7,2712.4,2392,1464.5,9044.5,3704.2,2732.1,9140.7,17133.1,15874.1,2511.6,3170,5128.9,6554.4,7900.8,127505,103803368,4480089,105403530.021841
Alabama,2003,6531,2826.3,2569.3,1500.9,9338.2,3760.6,3227.4,10023.9,17741.2,16615.8,2639.6,3304.2,5494.5,7039.1,8360.3,134152.6,109451264,4503491,102518205.812669
Alabama,2004,6669.9,3065.7,2846.4,1621.4,9686.5,3959.3,3813.1,10888,18721.4,17678.1,2817.6,3482,5839.9,7411.9,8686.8,147715.2,117849764,4530729,88954601.0549345
Alabama,2005,6793.2,3335.3,3024.5,1732.3,10034.4,4180.1,4652.1,11729,20101.5,19021.3,2947.9,3583.8,6282.4,7967.9,9017.9,158846.8,123979706,4569805,92002455.1301148
Alabama,2006,6714.3,3523,3224.4,1884.9,10259,4342.6,5379.9,12606.8,21480.1,19808.5,3003.2,3745.7,6707.3,8315.2,9353,166469,130981184,4628981,93968062.487692
Alabama,2007,6796.3,3610.8,3430.1,2025.1,10571.2,4411.7,5734.3,13245.3,22990,20625.4,3074.3,3899.5,7040.7,8612.2,9743.4,172975.2,137246037,4672840,97447099.3634027
Alabama,2008,5701.4,3347,3309.1,2002.5,11023.6,4367.2,6494,13555.7,24148.6,21228.1,3127.9,3977.4,7364.5,8704.5,9985.9,174526.3,142497330,4718206,105221177.196838
Alabama,2009,5180.2,3068.6,3050.4,1988.5,11171,4250.2,4760.9,14049.7,24494.6,22005.8,2974.4,3933.6,7440.6,8125.1,10051,170930.9,143477568,4757938,108160934.363932
