Date,Motor_vehicles_and_parts,Furnishings_and_durable_household_equipment,Recreational_goods_and_vehicles,Other_durable_goods,Food_and_beverages_purchased_for_off-premises_consumption,Clothing_and_footwear,Gasoline_and_other_energy_goods,Other_nondurable_goods,Housing_and_utilities,Health_care,Transportation_services,Recreation_services,Food_services_and_accommodations,Financial_services_and_insurance,Other_services,GDP,Disposable_personal_income,Population,CO2
1997-01-01,97005.0,52618.0,56857.33,28716.33,157835.0,81229.33,50720.67,137220.67,329376.33,258781.67,68669.33,68052.33,112988.33,130790.67,145345.0,2800700.0,6006000.0,271472000.0,363.24
1997-02-01,97005.0,52618.0,56857.33,28716.33,157835.0,81229.33,50720.67,137220.67,329376.33,258781.67,68669.33,68052.33,112988.33,130790.67,145345.0,2800700.0,6035300.0,271703000.0,364.21
1997-03-01,97005.0,52618.0,56857.33,28716.33,157835.0,81229.33,50720.67,137220.67,329376.33,258781.67,68669.33,68052.33,112988.33,130790.67,145345.0,2800700.0,6070400.0,271952000.0,364.65
1997-04-01,93160.33,52964.33,57472.0,28599.0,157263.33,81468.0,48108.67,139067.0,333715.0,261794.33,70051.33,69109.0,113652.33,134108.33,148717.0,2850633.33,6081000.0,272213000.0,366.49
1997-05-01,93160.33,52964.33,57472.0,28599.0,157263.33,81468.0,48108.67,139067.0,333715.0,261794.33,70051.33,69109.0,113652.33,134108.33,148717.0,2850633.33,6104800.0,272482000.0,366.77
1997-06-01,93160.33,52964.33,57472.0,28599.0,157263.33,81468.0,48108.67,139067.0,333715.0,261794.33,70051.33,69109.0,113652.33,134108.33,148717.0,2850633.33,6132300.0,272767000.0,365.73
1997-07-01,98960.67,53904.67,58766.0,29295.0,158797.33,83294.33,48826.33,141530.0,338139.0,265496.67,71338.0,69835.0,115527.67,138779.67,152180.0,2897266.67,6159100.0,273074000.0,364.46
1997-08-01,98960.67,53904.67,58766.0,29295.0,158797.33,83294.33,48826.33,141530.0,338139.0,265496.67,71338.0,69835.0,115527.67,138779.67,152180.0,2897266.67,6196100.0,273395000.0,362.4
1997-09-01,98960.67,53904.67,58766.0,29295.0,158797.33,83294.33,48826.33,141530.0,338139.0,265496.67,71338.0,69835.0,115527.67,138779.67,152180.0,2897266.67,6227300.0,273703000.0,360.44
1997-10-01,101650.67,54500.0,59747.33,29822.67,159140.67,84003.0,49226.0,143571.0,345199.33,268524.33,72345.67,70759.67,115735.0,141500.33,155751.0,2929433.33,6266300.0,273989000.0,360.98
